T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Appliances
21.2,33.29,19.82333333,31.79,23.46333333,38.23,20.5,31.73,19.2,39.36333333,10.26333333,1.0,19.79,24.29,21.89,34.46666667,18.79,29.23,9.85,756.1833333,41.83333333,4.833333333,40.0,-2.67,42.01718009,42.01718009,290
21.79,38.5,19.5,40.63333333,22.5,37.9,21.0,37.9,20.03333333,47.29,7.0,40.33333333,21.32333333,35.03,22.29,37.52666667,20.6,40.32666667,6.9,754.0,75.0,4.0,40.0,2.8,24.62438011,24.62438011,50
22.39,41.39,20.2,43.79,24.5,39.33333333,20.1,38.26,19.39,48.09,11.03,41.52666667,21.2,34.15666667,22.29,41.26,19.76,42.06,10.1,756.4333333,68.0,5.833333333,40.0,4.45,3.731259599,3.731259599,260
24.0,30.26,24.39,26.96333333,23.39,33.4,22.79,31.2,21.03333333,40.62666667,20.39,1.0,22.83285714,26.73857143,23.272,34.48,20.79,35.5,19.1,760.0,31.0,4.0,40.0,1.5,1.058825629,1.058825629,50
20.05,38.245,17.6,41.0,21.1,37.2,19.89,36.4,18.2,43.56,0.133333333,78.49333333,18.39,36.0,20.2,45.43333333,17.5,38.86333333,0.1,754.6,99.0,1.0,32.0,-0.1,39.24810754,39.24810754,30
25.16666667,37.7,26.7,31.7,26.15714286,37.97142857,25.03333333,36.66333333,23.6,36.86333333,28.04,1.0,24.0,33.894,24.89,35.656,23.1,40.0,24.6,751.25,33.0,4.0,40.0,7.25,24.6278654,24.6278654,50
19.5,37.59,17.29,39.72333333,20.29,35.82666667,18.66666667,35.5,17.6,45.09,2.433333333,79.26,17.89,32.4,19.5,39.7,17.39,37.0,1.43,757.2,97.66666667,2.666666667,53.0,1.1,40.94119286,40.94119286,20
22.79,37.09,21.2,37.53,23.29,37.16333333,22.86142857,34.79,20.56666667,42.76,13.53333333,7.2,22.1,35.612,22.79,44.0925,20.2,38.4,13.3,760.1,61.5,3.5,34.0,5.95,41.92644818,41.92644818,70
23.2,46.96666667,23.39,44.156,24.6,41.86333333,23.79,44.09,22.11428571,49.13714286,21.36,2.833333333,23.1,42.09571429,22.79,48.48142857,22.63333333,45.09,17.2,758.2,74.0,4.333333333,40.0,12.4,34.53656714,34.53656714,30
22.89,41.4,20.89,43.218,24.7,40.0,22.79,40.5,21.89,54.0,10.66,50.1,22.79,36.7,23.5,44.0,22.6,44.4,10.1,757.65,94.5,5.0,28.5,9.23,40.43456479,40.43456479,50
21.2,38.43333333,18.5,42.69333333,22.6,37.86,19.89,39.045,19.79,47.5,8.83,41.96,21.29,38.46666667,22.89,43.93333333,20.29,43.16333333,8.45,740.4,73.0,13.0,40.0,3.8,4.042957455,4.042957455,70
